,MAE,MSE,R2
SVR,0.2690023455702467,0.19997144526367394,0.7780424146793026
Ridge,0.46637346326276646,0.35877123075669437,0.6017831648098995
Bayesian,0.43520864219115285,0.3334646013908246,0.6298721669134147
