,CV_Mean_R2,CV_Std_R2,MAE,MSE,R2
STACKING_ELASTICNET_WITH_RIDGE_KNN,0.16137564483950675,0.19335286298773668,0.5560958816130447,0.4701204435526553,0.47819150717616044
STACKING_ELASTICNET_WITH_SVR_BAYESIAN,0.7729322666742441,0.17056668386927826,0.2531666245838654,0.14999886861522668,0.8335092961158879
STACKING_ELASTICNET_WITH_SVR_RF,0.8280930985000646,0.08243452920375212,0.2714453978255373,0.20882590331348044,0.7682144408630055
STACKING_ELASTICNET_WITH_SVR_GB,0.8454087053519774,0.08993713983109564,0.31676151515552115,0.3034466502158114,0.6631904836875688
STACKING_ELASTICNET_WITH_SVR_KNN,0.8248441937675605,0.08514353516096612,0.2531666245838654,0.14999886861522668,0.8335092961158879
STACKING_ELASTICNET_WITH_BAYESIAN_RF,0.6873311707801778,0.13565117555221812,0.4224547845179869,0.4770932739535214,0.47045203919068734
STACKING_ELASTICNET_WITH_BAYESIAN_GB,0.7660120196658149,0.12120125729483572,0.45163633504393946,0.6027022344959116,0.3310328259131592
STACKING_ELASTICNET_WITH_BAYESIAN_KNN,0.0566415024482795,0.18250336964958877,0.5916486258469543,0.531142384743813,0.4104604233681095
STACKING_ELASTICNET_WITH_RF_GB,0.7977912403275591,0.1370895351885187,0.4205504277687522,0.5551569354298758,0.38380555934083893
STACKING_ELASTICNET_WITH_RF_KNN,0.7277016870210413,0.10681899993247225,0.4224547845179869,0.4770932739535214,0.47045203919068734
STACKING_ELASTICNET_WITH_GB_KNN,0.7791483151006113,0.1303253332450385,0.45163633504393935,0.602702234495912,0.33103282591315875
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN,0.7663161794737259,0.17495243333196475,0.2531666245838654,0.14999886861522668,0.8335092961158879
STACKING_ELASTICNET_WITH_RIDGE_SVR_RF,0.806554582960078,0.10724912769357371,0.27144396967771084,0.2088239852961539,0.7682165697594279
STACKING_ELASTICNET_WITH_RIDGE_SVR_GB,0.8388764453848806,0.08884604780717201,0.3167595210446741,0.30344310924225854,0.6631944139784085
STACKING_ELASTICNET_WITH_RIDGE_SVR_KNN,0.7924829133525106,0.12519316192286228,0.2531666245838654,0.14999886861522668,0.8335092961158879
STACKING_ELASTICNET_WITH_RIDGE_BAYESIAN_RF,0.655857039618391,0.17799071563726598,0.4224547845179869,0.4770932739535214,0.47045203919068734
STACKING_ELASTICNET_WITH_RIDGE_BAYESIAN_GB,0.760117985974756,0.13637266278941557,0.4489430912026466,0.5975985366983924,0.3366976568986545
STACKING_ELASTICNET_WITH_RIDGE_BAYESIAN_KNN,0.12037751569678197,0.2451676765236362,0.5560958816130449,0.47012044355265536,0.4781915071761603
STACKING_ELASTICNET_WITH_RIDGE_RF_GB,0.7861817299656961,0.1520667439926679,0.42054982188649537,0.5551561014244385,0.38380648504216974
STACKING_ELASTICNET_WITH_RIDGE_RF_KNN,0.6810877781602593,0.1761442615935893,0.4224547845179869,0.4770932739535214,0.47045203919068734
STACKING_ELASTICNET_WITH_RIDGE_GB_KNN,0.7740989384724364,0.15143478204242564,0.4489430912026466,0.5975985366983924,0.3366976568986545
STACKING_ELASTICNET_WITH_SVR_BAYESIAN_RF,0.7860987488952285,0.14797188469096756,0.2714453978255372,0.20882590331348044,0.7682144408630055
STACKING_ELASTICNET_WITH_SVR_BAYESIAN_GB,0.8182087625750543,0.09797932946404304,0.3167615151555212,0.30344665021581146,0.6631904836875688
STACKING_ELASTICNET_WITH_SVR_BAYESIAN_KNN,0.7729322666742441,0.17056668386927826,0.2531666245838654,0.14999886861522668,0.8335092961158879
STACKING_ELASTICNET_WITH_SVR_RF_GB,0.8452434042746273,0.08981585946784612,0.31955023227876406,0.3170478714436144,0.6480938571809436
STACKING_ELASTICNET_WITH_SVR_RF_KNN,0.8280930985000646,0.08243452920375212,0.2714453978255373,0.20882590331348044,0.7682144408630055
STACKING_ELASTICNET_WITH_SVR_GB_KNN,0.8454087053519774,0.08993713983109564,0.31676151515552115,0.3034466502158114,0.6631904836875688
STACKING_ELASTICNET_WITH_BAYESIAN_RF_GB,0.7802179532404271,0.1265245626773701,0.42054985480109447,0.5551561467317536,0.38380643475347853
STACKING_ELASTICNET_WITH_BAYESIAN_RF_KNN,0.6873311707801778,0.13565117555221812,0.4224547845179869,0.4770932739535214,0.47045203919068734
STACKING_ELASTICNET_WITH_BAYESIAN_GB_KNN,0.7660120196658149,0.12120125729483572,0.45163633504393946,0.6027022344959116,0.3310328259131592
STACKING_ELASTICNET_WITH_RF_GB_KNN,0.7977910888619006,0.1370897598434149,0.4205504277687522,0.5551569354298758,0.38380555934083893
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN_RF,0.7799364331682456,0.1515212966188095,0.27144465727810396,0.2088249087491438,0.7682155447761082
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN_GB,0.8182253342546801,0.09797129245762203,0.3167635952508845,0.30345034390124126,0.6631863838947316
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN_KNN,0.7663161794737259,0.17495243333196475,0.2531666245838654,0.14999886861522668,0.8335092961158879
STACKING_ELASTICNET_WITH_RIDGE_SVR_RF_GB,0.8389786972970814,0.08880800136557743,0.3195571073479677,0.3170618382263916,0.6480783548007121
STACKING_ELASTICNET_WITH_RIDGE_SVR_RF_KNN,0.8065539425179168,0.10724978856602199,0.27144428464104686,0.20882440829417082,0.7682161002543028
STACKING_ELASTICNET_WITH_RIDGE_SVR_GB_KNN,0.8388762547194407,0.08884634759342286,0.31675932297943565,0.3034427575361692,0.6631948043533153
STACKING_ELASTICNET_WITH_RIDGE_BAYESIAN_RF_GB,0.7718593416399762,0.1403137819998082,0.42054982188649537,0.5551561014244385,0.38380648504216974
STACKING_ELASTICNET_WITH_RIDGE_BAYESIAN_RF_KNN,0.6558572710509333,0.17799065849105758,0.4224547845179869,0.4770932739535214,0.47045203919068734
STACKING_ELASTICNET_WITH_RIDGE_BAYESIAN_GB_KNN,0.760118217970032,0.13637269040928923,0.4489430912026466,0.5975985366983924,0.3366976568986545
STACKING_ELASTICNET_WITH_RIDGE_RF_GB_KNN,0.7861826544698687,0.15206412044908799,0.4205496463687263,0.5551558598224388,0.38380675320743907
STACKING_ELASTICNET_WITH_SVR_BAYESIAN_RF_GB,0.8185969561618693,0.09780357838683497,0.31955023227876406,0.3170478714436144,0.6480938571809436
STACKING_ELASTICNET_WITH_SVR_BAYESIAN_RF_KNN,0.7860987488952285,0.14797188469096767,0.2714453978255372,0.20882590331348044,0.7682144408630055
STACKING_ELASTICNET_WITH_SVR_BAYESIAN_GB_KNN,0.818208762575054,0.0979793294640431,0.3167615151555212,0.3034466502158113,0.663190483687569
STACKING_ELASTICNET_WITH_SVR_RF_GB_KNN,0.8452434042746273,0.08981585946784612,0.3195502322787641,0.3170478714436145,0.6480938571809434
STACKING_ELASTICNET_WITH_BAYESIAN_RF_GB_KNN,0.7802178873613204,0.12652465655279121,0.4205496893928848,0.5551559190456037,0.3838066874729005
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN_RF_GB,0.8182786518418658,0.09795558205240443,0.3195522770455725,0.31705524147187386,0.6480856768446257
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN_RF_KNN,0.7799364331682456,0.1515212966188095,0.27144465727810396,0.2088249087491438,0.7682155447761082
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN_GB_KNN,0.8182253094027292,0.09797131457321923,0.3167635952508845,0.30345034390124126,0.6631863838947316
STACKING_ELASTICNET_WITH_RIDGE_SVR_RF_GB_KNN,0.83897843367326,0.088808106161348,0.31955691559267474,0.3170612864862948,0.648078967202645
STACKING_ELASTICNET_WITH_RIDGE_BAYESIAN_RF_GB_KNN,0.7718607071804497,0.14031153413014003,0.4205496463687263,0.5551558598224388,0.38380675320743907
STACKING_ELASTICNET_WITH_SVR_BAYESIAN_RF_GB_KNN,0.8185969561618693,0.09780357838683497,0.31955023227876406,0.3170478714436144,0.6480938571809436
STACKING_ELASTICNET_WITH_RIDGE_SVR_BAYESIAN_RF_GB_KNN,0.8182793013644016,0.09795500734516069,0.31955221333552625,0.3170550859019557,0.648085849518896
